Date,Open,High,Low,LTP,no,tl,,,,,,,,,,
4/30/2019,734,734,700,705,"7,935","35,250.00",,,,,,,,,,
4/29/2019,723,723,700,720,"13,637","5,46,440.00",,,,,,,,,,
4/28/2019,737,755,721,723,"16,855","1,88,964.00",,,,,,,,,,
4/25/2019,722,735,722,723,"16,914","88,929.00",,,,,,,,,,
4/24/2019,720,732,720,722,"17,286","15,884.00",,,,,,,,,,
4/23/2019,711,735,697,727,"25,602","1,45,400.00",,,,,,,,,,
4/22/2019,696,741,696,710,"52,924","2,13,000.00",,,,,,,,,,
4/21/2019,622,683,621,683,"14,140","68,300.00",,,,,,,,,,
4/18/2019,601,625,598,621,"7,571","62,100.00",,,,,,,,,,
4/17/2019,595,610,597,600,"4,817","29,07,736.00",,,,,,,,,,
4/16/2019,584,597,584,595,"4,704","11,900.00",,,,,,,,,,
4/15/2019,585,588,580,587,"2,164","58,700.00",,,,,,,,,,
4/11/2019,592,594,590,591,"4,175","36,642.00",,,,,,,,,,
4/10/2019,592,597,584,590,"3,391","17,700.00",,,,,,,,,,
4/9/2019,592,599,585,592,"7,624","17,760.00",,,,,,,,,,
4/8/2019,585,602,587,592,"7,535","44,79,622.00",,,,,,,,,,
4/7/2019,584,585,573,585,"8,125","52,380.00",,,,,,,,,,
4/4/2019,575,580,569,574,4073,1.18656,,,,,,,,,,
4/3/2019,580,591,571,579,7791,0.579,,,,,,,,,,
4/2/2019,567,584,567,583,18598,0.4988,,,,,,,,,,
4/1/2019,557,569,557,567,7755,1.4175,,,,,,,,,,
3/31/2019,579,579,565,565,7189,0.60102,,,,,,,,,,
3/28/2019,563,574,563,568,4230,0.2272,,,,,,,,,,
3/27/2019,564,574,555,570,3764,21.4307,,,,,,,,,,
3/26/2019,570,570,560,564,2659,1.128,,,,,,,,,,
3/25/2019,555,572,552,568,6320,0.0568,,,,,,,,,,
3/24/2019,571,571,555,558,5624,0.3627,,,,,,,,,,
3/21/2019,577,580,567,571,6187,0.1142,,,,,,,,,,
3/19/2019,580,590,577,577,5041,0.08655,,,,,,,,,,
3/18/2019,583,587,582,583,6976,0.08176,,,,,,,,,,
3/17/2019,575,591,575,583,11221,1.166,,,,,,,,,,
3/14/2019,576,576,560,574,6842,0.572,,,,,,,,,,
3/13/2019,570,572,562,564,8800,0.3955,,,,,,,,,,
3/12/2019,542,566,540,566,"13,279","1,01,880.00",,,,,,,,,,
3/11/2019,535,541,535,540,"9,615","43,200.00",,,,,,,,,,
3/10/2019,530,535,528,535,244,"10,700.00",,,,,,,,,,
3/7/2019,535,536,530,533,"6,406","53,300.00",,,,,,,,,,
3/6/2019,528,532,528,532,"5,029","11,172.00",,,,,,,,,,
3/5/2019,524,530,520,528,"7,650","26,400.00",,,,,,,,,,
3/3/2019,521,531,521,525,"5,559","26,250.00",,,,,,,,,,
2/27/2019,525,534,525,530,2368,0.159,,,,,,,,,,
2/26/2019,534,534,524,530,2402,0.053,,,,,,,,,,
2/25/2019,527,529,521,525,7089,1.90774,,,,,,,,,,
2/24/2019,534,534,525,527,6349,0.92225,,,,,,,,,,
2/21/2019,539,540,534,534,7405,0.49128,,,,,,,,,,
2/20/2019,540,540,530,534,2409,0.3738,,,,,,,,,,
2/19/2019,530,540,528,534,1919,0.4005,,,,,,,,,,
2/18/2019,537,537,527,528,5840,0.264,,,,,,,,,,
2/17/2019,537,542,528,536,6723,0.1072,,,,,,,,,,
2/14/2019,543,544,531,536,6255,0.054,,,,,,,,,,
2/13/2019,552,555,541,542,4235,0.1084,,,,,,,,,,
2/12/2019,550,551,547,547,4004,0.2188,,,,,,,,,,
2/11/2019,554,555,545,551,4352,0.551,,,,,,,,,,
2/10/2019,557,558,550,550,3855,0.055,,,,,,,,,,
2/7/2019,561,561,555,556,2152,0.1668,,,,,,,,,,
2/6/2019,555,560,553,556,3455,1.112,,,,,,,,,,
2/5/2019,551,570,550,556,4021,0.36335,,,,,,,,,,
2/4/2019,556,564,555,557,5934,0.2785,,,,,,,,,,
2/3/2019,568,569,564,564,3165,1.82172,,,,,,,,,,
1/31/2019,562,572,562,565,2462,0.565,,,,,,,,,,
1/30/2019,563,565,562,562,4396,0.1124,,,,,,,,,,
1/29/2019,564,567,562,563,5320,0.3384,,,,,,,,,,
1/28/2019,565,569,561,564,3900,0.0564,,,,,,,,,,
1/27/2019,567,568,560,565,4985,0.17515,,,,,,,,,,
1/24/2019,570,573,560,567,5178,29.44095,,,,,,,,,,
1/23/2019,575,576,565,570,11499,0.057,,,,,,,,,,
1/22/2019,571,580,565,572,3694,0.575,,,,,,,,,,
1/21/2019,575,586,563,571,5777,0.75372,,,,,,,,,,
1/20/2019,589,590,575,575,3606,0.1731,,,,,,,,,,
1/17/2019,594,599,589,589,5909,2.0615,,,,,,,,,,
1/16/2019,592,599,590,594,2390,0.1782,,,,,,,,,,
1/15/2019,590,592,587,592,1839,1.48,,,,,,,,,,
1/14/2019,589,593,585,590,2299,1.4868,,,,,,,,,,
1/13/2019,608,608,586,589,6026,0.059,,,,,,,,,,
1/10/2019,605,610,602,608,12060,0.1216,,,,,,,,,,
1/9/2019,603,610,597,605,4415,0.1815,,,,,,,,,,
1/8/2019,600,608,600,603,2777,0.2412,,,,,,,,,,
1/6/2019,606,609,596,600,3683,0.174,,,,,,,,,,
1/3/2019,615,616,606,606,7471,0.303,,,,,,,,,,
1/2/2019,621,623,615,615,3265,0.4551,,,,,,,,,,
1/1/2019,615,625,615,621,5222,0.621,,,,,,,,,,
12/31/2018,623,635,615,615,6560,0.123,,,,,,,,,,
12/30/2018,623,628,622,623,2464,0.4984,,,,,,,,,,
12/27/2018,623,635,618,623,6195,38.78867,,,,,,,,,,
12/26/2018,621,627,615,623,4526,0.1246,,,,,,,,,,
12/25/2018,619,624,615,621,1330,0.248,,,,,,,,,,
12/24/2018,625,637,619,619,4227,0.619,,,,,,,,,,
12/23/2018,613,628,613,625,6527,1.25,,,,,,,,,,
12/20/2018,606,618,606,613,2236,0.613,,,,,,,,,,
12/19/2018,614,616,605,606,7647,0.2428,,,,,,,,,,
12/18/2018,629,629,613,614,8781,0.1228,,,,,,,,,,
12/17/2018,629,630,618,629,5185,0.9435,,,,,,,,,,
12/16/2018,619,636,619,629,9518,1.27058,,,,,,,,,,
12/13/2018,612,620,610,619,5019,0.09285,,,,,,,,,,
12/12/2018,599,613,599,612,8137,0.3672,,,,,,,,,,
12/11/2018,598,605,595,599,8512,0.599,,,,,,,,,,
12/10/2018,583,600,582,598,12924,0.1196,,,,,,,,,,
12/9/2018,565,583,565,583,5205,0.1218,,,,,,,,,,
12/6/2018,554,568,550,565,4894,0.2938,,,,,,,,,,
12/4/2018,550,560,550,560,11761,0.112,,,,,,,,,,
12/3/2018,560,564,550,551,15005,0.551,,,,,,,,,,
12/2/2018,571.2,571.2,560,560,14201,0.0563,,,,,,,,,,
11/29/2018,575.84,578,570,570,4919,0.571,,,,,,,,,,
11/28/2018,575.54,582,573,576,3491,0.51264,,,,,,,,,,
11/27/2018,581.32,590,573,573,11710,0.1146,,,,,,,,,,
11/26/2018,587.55,588,577,580,10004,0.1044,,,,,,,,,,
11/25/2018,597,608,585,585,8119,0.1872,,,,,,,,,,
11/22/2018,599,599,588,597,8692,0.4776,,,,,,,,,,
11/21/2018,606,606,596,599,7184,1.198,,,,,,,,,,
11/20/2018,609,612,606,606,4236,0.2424,,,,,,,,,,
11/19/2018,615,615,605,609,5670,0.0609,,,,,,,,,,
11/18/2018,625,625,613,615,4750,0.615,,,,,,,,,,
11/15/2018,625,629,622,625,9575,59.71574,,,,,,,,,,
11/14/2018,625,628,622,625,6337,39.59283,,,,,,,,,,
11/5/2018,688,688,675,685,1865,12.7003,,,,,,,,,,
11/4/2018,685,690,670,676,4675,31.6901,,,,,,,,,,
11/1/2018,691,695,691,691,3137,21.7158,,,,,,,,,,
10/31/2018,691,693,690,691,2068,14.2811,,,,,,,,,,
10/30/2018,688,694,687,690,1794,12.3744,,,,,,,,,,
10/29/2018,686,693,686,688,3630,25.0375,,,,,,,,,,
10/28/2018,690,697,690,695,2823,19.5952,,,,,,,,,,
10/25/2018,714,714,700,700,3367,23.661,,,,,,,,,,
10/24/2018,710,711,705,708,2532,17.8921,,,,,,,,,,
10/23/2018,708,711,705,709,1437,10.1603,,,,,,,,,,
10/22/2018,705,710,703,710,1153,8.139,,,,,,,,,,
10/21/2018,705,713,705,710,1253,8.9046,,,,,,,,,,
10/15/2018,715,715,705,708,2160,15.3258,,,,,,,,,,
10/14/2018,702,708,699,707,3086,21.6599,,,,,,,,,,
10/11/2018,690,700,690,700,6717,46.4765,,,,,,,,,,
10/10/2018,685,692,685,692,3772,26.0204,,,,,,,,,,
10/9/2018,690,691,686,688,3268,22.4987,,,,,,,,,,
10/8/2018,690,693,690,690,5429,37.5238,,,,,,,,,,
10/7/2018,689,690,681,690,5480,37.6829,,,,,,,,,,
10/4/2018,691,694,689,690,6988,48.2924,,,,,,,,,,
10/3/2018,691,700,690,691,6082,42.0696,,,,,,,,,,
10/2/2018,698,700,690,691,10074,70.0409,,,,,,,,,,
10/1/2018,705,709,692,696,9853,68.8403,,,,,,,,,,
9/30/2018,705,709,700,700,12333,86.7821,,,,,,,,,,
9/27/2018,707,710,702,710,11446,80.7828,,,,,,,,,,
9/26/2018,710,715,708,708,7884,56.1362,,,,,,,,,,
9/25/2018,713,719,705,707,14146,100.295,,,,,,,,,,
9/23/2018,710,714,709,709,7325,52.0604,,,,,,,,,,
9/20/2018,720,720,707,712,8302,59.0394,,,,,,,,,,
9/18/2018,730,730,716,720,3859,27.7042,,,,,,,,,,
9/17/2018,722,729,716,716,4366,31.4241,,,,,,,,,,
9/16/2018,722,722,700,720,11172,79.972,,,,,,,,,,
9/13/2018,713,720,713,715,7739,55.4099,,,,,,,,,,
9/12/2018,712,717,711,717,4873,34.7928,,,,,,,,,,
9/11/2018,716,716,710,715,8029,57.2393,,,,,,,,,,
9/10/2018,723,723,715,715,7660,55.0291,,,,,,,,,,
9/9/2018,717,722,715,722,7304,52.533,,,,,,,,,,
9/6/2018,720,733,716,717,8176,58.917,,,,,,,,,,
9/5/2018,715,720,712,717,6501,46.5505,,,,,,,,,,
9/4/2018,711,714,708,710,7895,56.0825,,,,,,,,,,
9/3/2018,710,720,709,709,8886,63.3161,,,,,,,,,,
9/2/2018,717,717,708,708,8085,57.5697,,,,,,,,,,
8/30/2018,721,721,707,715,6503,46.2017,,,,,,,,,,
8/29/2018,719,719,706,711,5590,39.6942,,,,,,,,,,
8/28/2018,715,720,710,713,9638,68.8502,,,,,,,,,,
8/26/2018,726,728,719,719,5749,41.5517,,,,,,,,,,
8/23/2018,729,730,723,725,3058,22.1774,,,,,,,,,,
8/22/2018,722,728,722,728,3318,24.0561,,,,,,,,,,
8/21/2018,730,730,720,726,4060,29.4716,,,,,,,,,,
8/20/2018,725,735,725,730,5404,39.242,,,,,,,,,,
8/19/2018,744,745,726,728,4494,32.9596,,,,,,,,,,
8/16/2018,760,766,742,744,7111,53.2065,,,,,,,,,,
8/15/2018,724,755,724,755,8058,58.7188,,,,,,,,,,
8/14/2018,720,733,720,726,8772,63.7102,,,,,,,,,,
8/13/2018,730,734,725,726,5630,40.9534,,,,,,,,,,
8/12/2018,730,733,726,730,5457,39.7398,,,,,,,,,,
8/9/2018,730,740,727,729,3976,29.0416,,,,,,,,,,
8/8/2018,736,744,729,729,5366,39.3954,,,,,,,,,,
8/7/2018,721,739,721,735,6846,50.29,,,,,,,,,,
8/6/2018,731,739,729,735,6009,44.0313,,,,,,,,,,
8/5/2018,745,749,726,730,5653,41.6911,,,,,,,,,,
8/2/2018,743,748,740,747,2531,18.8066,,,,,,,,,,
8/1/2018,750,750,742,746,6595,49.2134,,,,,,,,,,
7/31/2018,752,755,746,749,7607,56.9996,,,,,,,,,,
7/30/2018,760,760,750,752,7622,57.4946,,,,,,,,,,
7/29/2018,750,756,750,752,4100,30.9069,,,,,,,,,,
7/26/2018,749,759,749,752,3856,29.0554,,,,,,,,,,
7/25/2018,757,760,750,758,2642,19.9817,,,,,,,,,,
7/24/2018,750,760,750,757,4466,33.7396,,,,,,,,,,
7/23/2018,749,750,745,748,2043,15.2698,,,,,,,,,,
7/22/2018,752,752,746,747,3044,22.7921,,,,,,,,,,
7/19/2018,745,750,744,748,4273,31.9545,,,,,,,,,,
7/18/2018,753,754,749,754,4026,30.2053,,,,,,,,,,
7/17/2018,754,755,748,753,3427,25.7579,,,,,,,,,,
7/16/2018,755,760,747,754,3877,29.1635,,,,,,,,,,
7/15/2018,741,757,740,755,4983,37.0351,,,,,,,,,,
7/12/2018,772,770,735,741,7374,55.4971,,,,,,,,,,
7/11/2018,760,770,757,758,3859,29.3638,,,,,,,,,,
7/10/2018,751,760,745,760,4598,34.6898,,,,,,,,,,
7/9/2018,770,770,746,751,4165,31.3554,,,,,,,,,,
7/8/2018,760,785,759,768,8383,64.3321,,,,,,,,,,
7/5/2018,726,752,726,746,6235,46.444,,,,,,,,,,
7/4/2018,722,729,717,726,9143,65.9775,,,,,,,,,,
7/3/2018,728,728,714,725,5673,40.9307,,,,,,,,,,
7/2/2018,724,731,720,728,3846,27.8612,,,,,,,,,,
7/1/2018,737,737,725,729,5504,40.1341,,,,,,,,,,
6/28/2018,745,745,730,736,9462,69.5477,,,,,,,,,,
6/27/2018,740,743,730,741,4796,35.2838,,,,,,,,,,
6/26/2018,747,749,730,731,9338,68.8621,,,,,,,,,,
6/25/2018,740,756,740,747,6687,50.0383,,,,,,,,,,
6/24/2018,765,765,750,752,7640,57.5605,,,,,,,,,,
6/21/2018,755,761,751,754,3266,24.6876,,,,,,,,,,
6/20/2018,750,769,750,755,3494,26.5658,,,,,,,,,,
6/19/2018,769,770,760,762,4920,37.5006,,,,,,,,,,
6/18/2018,765,772,760,770,6099,46.8142,,,,,,,,,,
6/17/2018,770,773,756,773,2307,17.7113,,,,,,,,,,
6/14/2018,780,788,770,772,8300,64.3125,,,,,,,,,,
6/13/2018,774,775,766,775,4151,32.0047,,,,,,,,,,
6/12/2018,775,784,767,774,7473,58.1081,,,,,,,,,,
6/11/2018,770,785,765,775,4618,35.7734,,,,,,,,,,
6/10/2018,780,785,755,770,9562,73.1339,,,,,,,,,,
6/7/2018,810,810,779,780,8081,63.6578,,,,,,,,,,
6/6/2018,807,820,795,800,3140,25.318,,,,,,,,,,
6/4/2018,799,799,784,792,7736,60.9954,,,,,,,,,,
6/3/2018,791,800,784,789,5107,40.5416,,,,,,,,,,
5/31/2018,820,820,803,805,5122,41.36,,,,,,,,,,
5/30/2018,810,820,810,815,2830,23.1277,,,,,,,,,,
5/29/2018,811,825,805,821,5855,47.723,,,,,,,,,,
5/28/2018,800,830,798,817,12843,103.35874,,,,,,,,,,
5/27/2018,806,810,790,800,8147,65.2748,,,,,,,,,,
5/24/2018,810,813,805,806,6998,56.48608,,,,,,,,,,
5/23/2018,808,825,800,810,3542,28.83,,,,,,,,,,
5/22/2018,814,817,810,813,5513,44.8722,,,,,,,,,,
5/21/2018,817,819,812,815,4092,33.3154,,,,,,,,,,
5/20/2018,825,826,810,816,7347,59.8406,,,,,,,,,,
5/17/2018,820,831,814,817,7883,64.5469,,,,,,,,,,
5/16/2018,816,825,815,817,9163,74.9828,,,,,,,,,,
5/15/2018,820,826,819,822,4822,39.6128,,,,,,,,,,
5/14/2018,825,829,820,824,11884,97.7446,,,,,,,,,,
5/10/2018,828,830,823,825,6840,56.4896,,,,,,,,,,
5/9/2018,830,833,822,828,6500,53.90618,,,,,,,,,,
5/8/2018,826,839,825,830,9430,78.1366,,,,,,,,,,
5/7/2018,830,831,822,826,11942,98.5731,,,,,,,,,,
5/6/2018,820,840,820,835,7949,66.1535,,,,,,,,,,
5/3/2018,840,847,835,836,9730,81.7271,,,,,,,,,,
5/2/2018,843,845,828,835,9031,75.13976,,,,,,,,,,
4/29/2018,842,849,828,843,7314,61.3428,,,,,,,,,,
4/26/2018,858,866,838,844,19818,168.109,,,,,,,,,,
4/25/2018,857,869,851,862,11791,101.172,,,,,,,,,,
4/24/2018,886,886,855,857,14031,121.038,,,,,,,,,,
4/23/2018,904,910,875,875,21063,187.945,,,,,,,,,,
